,Unnamed: 0,driver,ageDuringRace,points
533,533,RubensBarrichello,36,2.0
534,534,LewisHamilton,25,8.0
535,535,JensonButton,30,4.0
536,536,NicoRosberg,24,15.0
537,537,MichaelSchumacher,41,0.0
538,538,RubensBarrichello,37,0.0
539,539,NicoHülkenberg,22,1.0
540,540,Pedrode la Rosa,39,0.0
541,541,KamuiKobayashi,23,0.0
542,542,RobertKubica,25,12.0
543,543,VitalyPetrov,25,0.0
544,544,FernandoAlonso,28,0.0
545,545,FelipeMassa,28,6.0
546,546,HeikkiKovalainen,28,0.0
547,547,JarnoTrulli,35,0.0
548,548,SébastienBuemi,21,0.0
549,549,JaimeAlguersuari,20,2.0
550,550,TimoGlock,28,0.0
551,551,Lucasdi Grassi,25,0.0
552,552,MarkWebber,33,18.0
553,553,SebastianVettel,22,25.0
554,554,AdrianSutil,27,10.0
555,555,VitantonioLiuzzi,29,0.0
556,556,BrunoSenna,26,0.0
557,557,KarunChandhok,26,0.0
558,558,LewisHamilton,26,4.0
559,559,JensonButton,31,18.0
560,560,NicoRosberg,26,0.0
561,561,MichaelSchumacher,42,2.0
562,562,RubensBarrichello,39,0.0
563,563,PastorMaldonado,26,0.0
564,564,KamuiKobayashi,25,6.0
565,565,SergioPérez,21,0.0
566,566,NickHeidfeld,34,15.0
567,567,VitalyPetrov,27,0.0
568,568,FernandoAlonso,30,8.0
569,569,FelipeMassa,30,10.0
570,570,HeikkiKovalainen,29,0.0
571,571,JarnoTrulli,37,0.0
572,572,SébastienBuemi,22,0.0
573,573,JaimeAlguersuari,21,0.0
574,574,TimoGlock,29,0.0
575,575,Jérômed'Ambrosio,25,0.0
576,576,MarkWebber,35,12.0
577,577,SebastianVettel,24,25.0
578,578,AdrianSutil,28,0.0
579,579,Pauldi Resta,25,1.0
580,580,VitantonioLiuzzi,31,0.0
581,581,NarainKarthikeyan,34,0.0
582,582,LewisHamilton,27,15.0
583,583,JensonButton,32,0.0
584,584,NicoRosberg,26,0.0
585,585,MichaelSchumacher,43,1.0
586,586,BrunoSenna,28,8.0
587,587,PastorMaldonado,27,0.0
588,588,KamuiKobayashi,25,0.0
589,589,SergioPérez,22,18.0
590,590,FernandoAlonso,30,25.0
591,591,FelipeMassa,30,0.0
592,592,HeikkiKovalainen,30,0.0
593,593,VitalyPetrov,27,0.0
594,594,KimiRäikkönen,32,10.0
595,595,RomainGrosjean,25,0.0
596,596,DanielRicciardo,22,0.0
597,597,Jean-ÉricVergne,21,4.0
598,598,TimoGlock,30,0.0
599,599,CharlesPic,22,0.0
600,600,MarkWebber,35,12.0
601,601,SebastianVettel,24,0.0
602,602,NicoHülkenberg,24,2.0
603,603,Pauldi Resta,25,6.0
604,604,Pedrode la Rosa,41,0.0
605,605,NarainKarthikeyan,35,0.0
